,链接,名字,放送类型,评分,中文名,导演,总导演,副导演,放送时间,系列构成,制作公司,脚本,分镜,演出,作画监督,原画,制片人,总集数,评分人数,看过,搁置,弃坑
1166,/subject/1260,地獄少女,TV,7.3,地狱少女,大森貴弘,,,2005-10-04,金巻兼一,スタジオディーン,"西園悟,福嶋幸典,金巻兼一,高木登,高橋ナツコ","大畑清隆,後藤圭二,名村英敏,福田道生,若林厚史,大森貴弘,わたなべひろし,小島正士,大畑晃一,小寺勝之,細田雅弘","後藤圭二,小坂春女,吉田俊司,石堂宏之,細田雅弘,粟井重紀,大森貴弘,則座誠,林直孝,筑紫大介,千葉大輔,岡崎幸男","小谷杏子,服部憲知,土橋昭人,岡真里子,山本佐和子,山川宏治,清水貴子,富沢和雄,笠原彰","岡真里子,飯塚晴子,わたなべひろし",,26,2389,3141,371,145
1167,/subject/13379,rain town,WEB,7.3,雨之城,石田祐康,,,2011-03-10,,,,,,,石田祐康,,1,372,502,7,4
1168,/subject/10842,NO.6,TV,7.3,未来都市NO.6,長崎健司,,,2011-07-07,水上清資,BONES,"水上清資,大野木寛,伊藤美智子","宮下新平,増井壮一,タムラコータロー,岡田健,長崎健司,寺岡巌","布施康之,佐藤清光,清水久敏,宮下新平,佐藤育郎,石田暢,長崎健司","菅野宏紀,松田剛吏,石野聡,高橋優也,佐古宗一郎,竹知仁美,小田武士,塚本知代美,大城勝,大貫健一","新井伸浩,石橋翔祐,石原恵治,亀田祥倫,三輪和宏,小島崇史,阿部慎吾,沈宏",,11,3258,3316,289,340
1169,/subject/40388,あたしンち,TV,7.3,我们这一家,"大地丙太郎,やすみ哲夫",,長濵博史,2002-04-19,高橋ナツコ,シンエイ動画,"幸田陽,高橋ナツコ,大野木寛,けらえいこ,杉浦真夕,日埜みどり,ときたひろこ,山下友弘,高橋渉,吉村元希,北条千夏,田嶋久子,早川正,やすみ哲夫,伊丹あき,池田眞美子,渡邊大輔,葉山陽一郎,羽原大介,翁妙子,岡部優子,ほそのゆうじ,千葉雅子","宮下新平,長濵博史,牛草健,渡辺歩,やすみ哲夫,おおそ元,大地丙太郎,西野理恵,山本寛,中村憲由,鳥羽明子,多田俊介,パクキョンスン,佐久間信計,善聡一郎,和田高明,橋本昌和,川崎逸朗,麦野アイス,木村哲,塚田庄英,木野雄,松崎一,伊藤潤,難波日登志,玉野陽美,林一哉,吉岡忍,石原立也,高橋渉,山本秀世,井硲清高,細谷秋夫,栗原あおい,SAKUMA,佐土原武之","伊藤潤,難波日登志,麦野アイス,多田俊介,善聡一郎,三宅綱太郎,橋本昌和,牛草健,やすみ哲夫,岩井隆央,塚田庄英,玉野陽美,剛田隼人,木村延景,山本寛,宮下新平,吉岡忍,木野雄,片貝慎,鈴木健太郎,細谷秋夫,石原立也,牧野友映,パクキョンスン,山本秀世,高橋渉","向田隆,杉光登,鍋田香代子,山﨑絵里,さくましげこ,矢沢則夫,林一哉,上野真理子,茂木琢次,鈴木大司,宍戸久美子,金子勲,佐々木綾子,諏訪昌夫,罍和伸,樋口善法,高橋英吉,大武正枝,なかじまちゅうじ,岡辰也,前田一雪,和泉絹子,佐藤陽子,高野登,神村幸子,尾鷲英俊,西野理恵","向田隆,関口可奈味,石井百合子,丸山修二,赤城博昭",,330,86,129,8,13
1170,/subject/2414,ちっちゃな雪使いシュガー,TV,7.3,小小雪精灵,木村真一郎,,,2001-10-03,山田靖智,J.C.STAFF,"堀井明子,大久保智康,水上清資","長澤剛,鈴木利正,島津奔","水無月弥生,長尾粛","岡野幸男,日高真由美,松田寛,川嶋恵子,屋幸秀,石井ゆみこ","長谷川眞也,大木良一,丸山宏一",,24,114,150,16,15
1171,/subject/5425,絶愛,OVA,7.3,绝爱,"りんたろう,遠藤卓司,川崎逸朗",やまざきかずお,,2019-02-09,やまざきかずお,"MADHOUSE,Production I.G","やまざきかずお,浦畑達彦","平田敏夫,小寺勝之,千明孝一,浅香守生,川尻善昭,やまざきかずお",川崎逸朗,"青木哲朗,黄瀬和哉",,"丸山正雄,石川光久",3,205,312,16,23
1172,/subject/4217,ああっ女神さまっ,TV,7.3,我的女神,合田浩章,,,2005-01-06,"合田浩章,渡辺陽",AIC Digital,"花田十輝,日暮茶坊,渡辺陽,合田浩章,あおしまたかし","浅井義之,木村隆一,ほしかわたかふみ,岩田義彦,福島宏之,小寺勝之,野中卓也,合田浩章,遠藤広隆,宮尾佳和,笹嶋啓一","富田浩章,仁昌寺義人,いまざきいつき,ほしかわたかふみ,合田浩章,浅井義之,加藤顕,岩田義彦,あおきえい,木村隆一,間取澪,遠藤広隆,右山章太,大下弘,野中卓也","松原秀典,原修一,猪股雅美,村田俊治,小暮昌広,清水裕輔,北島信幸,坂田理,菱沼祐樹","猪股雅美,大杉尚広,米澤優,森田実,宮本武史,渡部周,斉藤哲人,岡崎洋美,冨澤佳也乃,狩野正志,杉生祐一,内野明雄,山野雅明,大下知之,小暮昌広,横田和彦,手塚響平,合田浩章,さとう陽,三浦貴博,松原豐,海堂ヒロユキ,実原登,柴田志朗,中西麻実子,新井伸浩,池田広明,諸石美雪,河野悦隆,森前和也,立川聖治,菱沼祐樹,森幸子,高井浩一,小谷杏子,奥田淳,秋元勇一,及川啓,田村正文,井元一彰,安田慎介,都竹隆治,仁昌寺義人,内田孝行",,24,577,844,110,43
1173,/subject/10276,スクライド,TV,7.3,分身战士,谷口悟朗,,,2001-07-04,,サンライズ,黒田洋介,"やまざきかずお,久城りおん,谷口悟朗,高松信司,加瀬充子,渡辺純央,望月智充,三好正人,日高政光,北村真咲,吉永尚之","いとがしんたろー,喜多幡徹,久城りおん,西村大樹,加藤洋人,高木茂樹","大貫健一,中田栄治,斎藤久,平井久司,山根理宏,寺岡巌,糸島雅彦,木村貴宏,久行宏和","平井久司,高瀬健一,鈴木卓也,寺岡巌,飯飼一幸,山根理宏,糸島雅彦,中田栄治,実原登,仲盛文,鈴木竜也,大張正己,玄馬宣彦,木村貴宏",東不可止,26,199,253,35,18
1174,/subject/11715,.hack//Quantum,OVA,7.3,.hack//Quantum,橘正紀,,,2019-02-09,,KINEMA CITRUS,浜崎達也,"橘正紀,徳土大介,首藤武夫","橘正紀,河野利幸,河口俊夫,かおり","秋谷有紀恵,肥塚正史","柳沼和良,碇谷敦,まじろ,赤井俊文",,3,333,491,20,15
1175,/subject/95784,The Lego Movie,剧场版,7.3,乐高大电影,,,,2019-02-09,,,,,,,,,1,111,166,4,5
1176,/subject/29648,中二病でも恋がしたい！,TV,7.3,二病也要谈恋爱！,石原立也,,,2012-10-03,花田十輝,京都アニメーション,花田十輝,"石立太一,内海紘子,河浪栄作,北之原孝將,木上益治,坂本一也,小川太一,石原立也,太田里香,武本康弘","石立太一,坂本一也,河浪栄作,木上益治,内海紘子,北之原孝將,太田里香,武本康弘","内藤直,植野千世子,丸木宣明,高橋博行,門脇未来,鴨居知世,引山佳代","山田尚子,内藤直,石立太一,瀬崎利恵,佐藤達也,北之原孝將,池田晶子","中村伸一,斎藤滋,大橋永晴",13,7569,9525,272,312
1177,/subject/11909,Despicable Me,剧场版,7.3,卑鄙的我,,,,2019-02-09,,,,,,,,,1,867,1292,7,3
1178,/subject/889,みなみけ おかえり,TV,7.3,南家三姐妹 欢迎回来,及川啓,,,2009-01-04,小鹿りえ,アスリード,小鹿りえ,"高梨光,細田直人,柳瀬雄之,友岡新平,徳本善信,金﨑貴臣,えんどうてつや,及川啓,まついひとゆき","吉田りさこ,荒井省吾,小林浩輔,細田直人,橋口洋介,山口頼房,及川啓,徳本善信,鈴木薫,友岡新平","大野勉,青野厚司,柳瀬譲二,小林多加志,平山英嗣,岡田万衣子,後藤孝宏,松岡謙治,細田直人,水谷麻美子,田中誠輝,友岡新平,渡辺るりこ,谷津美弥子,佐々木敏子,中島美子,小島智加","小島智加,直谷たかし,足立慎吾,滝山真哲,平山英嗣",平松巨規,13,1977,2875,95,49
1179,/subject/10416,TEXHNOLYZE,TV,7.3,机魂末世录,浜崎博嗣,,鶴岡耕次郎,2003-04-16,小中千昭,MADHOUSE,"小中千昭,吉田伸,古怒田健志,高木登","郷敏治,佐藤雄三,林秀夫,島崎奈々子,松村やすひろ,おざわかずひろ,平松禎史,平尾隆之,兼森義則,鶴岡耕次郎,松尾衡,小島正幸,佐々木守,駒井一也,ところともかず,浜崎博嗣,山本沙代","太田雅彦,おざわかずひろ,駒井一也,山本沙代,島崎奈々子,岡嶋国敏,松尾衡,郷敏治,浜崎博嗣,平尾隆之,洪憲杓,松村やすひろ,遠藤卓司","越智信次,恩田尚之,渡辺和夫,田中孝弘,濱田邦彦,谷口守泰,日向正樹,梅原隆弘,柳瀬雄之,石川洋一,赤堀重雄,金鐘學,江本正弘,李時旼,佐々木守",,丸山正雄,22,122,161,37,20
